State,Year,Month,M_1,M_2,M_3,M_4,M_5,M_6,M_7,M_8,M_9,M_10,M_11,M_12,Temp,Count,price,Megawatthours
AK,2013,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08441251915589999,-4.5327972907899997e-07,-1.3529805198299998,-1.36729575726e-08
AK,2013,2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0299015612176,-5.42781919267e-07,1.8197647346,-1.13529178472e-07
AK,2013,3,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.036578967793900005,-4.4932279014399995e-07,0.648289563734,1.91623692756e-08
AK,2013,4,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0446863493807,-4.67034802519e-07,3.1376743018299997,-3.11127459492e-08
AK,2013,5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.148460833691,-4.06455951686e-07,-0.523185607134,-2.33009408701e-08
AK,2013,6,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.150082310009,-4.67694292341e-07,-1.7922837089099997,-3.4069282601999997e-08
AK,2013,7,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.00739239408158,-4.24356389723e-07,2.84480550911,2.04748308849e-08
AK,2013,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.0307122993762,-4.94262310902e-07,-4.3792913779100004,3.57794205242e-08
AK,2013,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.0971928283877,-4.70426464463e-07,-0.0350709526061,-1.72437486458e-08
AK,2013,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.04692706254980001,-4.50547556958e-07,0.8435354255449999,2.76415988619e-08
AK,2013,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.166105571875,-6.00628597979e-07,2.9424284400200005,3.42696699097e-08
AK,2013,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.0558451822952,-5.41462939623e-07,1.08759275281,1.10529566099e-07
AK,2014,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09089842442530001,-4.56388752528e-07,-4.42810284336,2.45436919492e-09
AK,2014,2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0963820902291,-5.515437126229999e-07,1.6245188727899997,-9.3414095216e-08
AK,2014,3,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0584688980782,-4.32364480425e-07,-0.425562676229,3.25948121845e-08
AK,2014,4,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10630244944,-1.06274253785e-06,-0.0838824180589,-7.82732134746e-08
AK,2014,5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11603130734400001,6.7105620535e-07,6.6520998144300005,-2.7015850862e-08
AK,2014,6,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0487400401741,-4.54221857397e-07,2.30787938913,-7.883014993699999e-09
AK,2014,7,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.035768229635300006,-4.2840754149e-07,0.5994780982810001,2.18852373903e-08
AK,2014,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.0072008927746,-4.6939012331300003e-07,-1.4017919852899998,1.73098115245e-08
AK,2014,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.0801673270555,-4.34531375555e-07,-2.91494741432,3.8423882955e-09
AK,2014,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.135297521846,-4.4253946625600005e-07,1.7221418037,3.17370947363e-08
AK,2014,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.0517914915018,-5.38824980333e-07,-0.669620003493,3.94999273674e-08
AK,2014,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.038819680963,-5.17532880351e-07,-6.7710531850999995,6.7964113419e-08
AK,2015,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.06557404019930001,-1.06848952058e-06,2.6495596473,1.31177699666e-08
AK,2015,2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.043064873063400004,-5.01987763108e-07,-0.18150534896499998,-4.30928059686e-08
AK,2015,3,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0252286335725,-4.14935106546e-07,0.7947239600920001,-1.19099494408e-08
AK,2015,4,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0981950678534,-4.25392730873e-07,-0.5719970725869999,-5.06429582536e-08
AK,2015,5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.133056808676,-4.7353548791099995e-07,1.6245188727899997,-3.1489134193299994e-08
AK,2015,6,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.059279636236899996,-4.3227026759300005e-07,2.84480550911,-1.58543303324e-08
AK,2015,7,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.013878299350999998,-4.4630797952799995e-07,0.648289563734,2.66243711541e-08
AK,2015,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.041251895439,-4.56294539696e-07,-1.8899066398099997,2.69601822268e-08
AK,2015,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.08584249416629999,-4.4715589501400005e-07,-1.2065461234700001,-7.607370071510001e-09
AK,2015,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.060709611247300004,-4.77398214014e-07,-0.425562676229,3.40597879893e-08
AK,2015,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.11827202051300001,-6.15891076727e-07,1.03878128736,3.5940329996499996e-08
