M_1,M_2,M_3,M_4,M_5,M_6,M_7,M_8,M_9,M_10,M_11,M_12,M_13,M_14,M_15,M_16,M_17,M_18,M_19,M_20,M_21,M_22,M_23,M_24
-2.37641852436e-05,-2.37582571572e-05,-2.37403473875e-05,-2.37133863266e-05,-2.36828345805e-05,-2.36537016463e-05,-2.36292889895e-05,-2.36112409766e-05,-2.35999450524e-05,-2.35949810303e-05,-2.35955085373e-05,-2.36003797909e-05,-2.36086380028e-05,-2.36193354795e-05,-2.36316755036e-05,-2.36450487137e-05,-2.36589858105e-05,-2.36730465986e-05,-2.36870237131e-05,-2.37006333919e-05,-2.3713824703e-05,-2.37264594034e-05,-2.37384174397e-05,-2.37497697526e-05
-2.3761382181e-05,-2.37579570239e-05,-2.37421900238e-05,-2.37165240833e-05,-2.36864598264e-05,-2.36572523136e-05,-2.36323612626e-05,-2.36136384046e-05,-2.36016712734e-05,-2.3596070605e-05,-2.35959996644e-05,-2.36004598264e-05,-2.36083778873e-05,-2.36188207055e-05,-2.36309861066e-05,-2.36442356254e-05,-2.36580835917e-05,-2.3672104362e-05,-2.36860505538e-05,-2.36996802414e-05,-2.37129097513e-05,-2.37255462707e-05,-2.37375697907e-05,-2.37489348365e-05
-2.37614876823e-05,-2.37576878135e-05,-2.37416625168e-05,-2.37158401433e-05,-2.36858359131e-05,-2.3656655685e-05,-2.36318810494e-05,-2.36133255385e-05,-2.36014766415e-05,-2.35960178543e-05,-2.35960287682e-05,-2.36005653278e-05,-2.36085397773e-05,-2.36190007854e-05,-2.36312407651e-05,-2.36444848269e-05,-2.36583309743e-05,-2.36723608396e-05,-2.36863197642e-05,-2.36999585468e-05,-2.37131280301e-05,-2.37257700064e-05,-2.37378080783e-05,-2.37491385633e-05
-2.37616695813e-05,-2.37577078224e-05,-2.37415661104e-05,-2.37157382799e-05,-2.36857013078e-05,-2.36565392697e-05,-2.36317919189e-05,-2.36132673308e-05,-2.36014475377e-05,-2.35959814745e-05,-2.3596066967e-05,-2.36006035266e-05,-2.36085725192e-05,-2.36190608121e-05,-2.36312480411e-05,-2.36445266637e-05,-2.36583582591e-05,-2.36724281422e-05,-2.36863288592e-05,-2.37000222114e-05,-2.37131989707e-05,-2.37257863773e-05,-2.37378371821e-05,-2.37491713051e-05
-2.37631629716e-05,-2.37580024987e-05,-2.37406984525e-05,-2.37140975514e-05,-2.36837950069e-05,-2.36547148234e-05,-2.36302839767e-05,-2.36121559283e-05,-2.36007854255e-05,-2.3595724997e-05,-2.35961360886e-05,-2.36009291257e-05,-2.3609121854e-05,-2.361974839e-05,-2.36320520344e-05,-2.36454052356e-05,-2.36592495639e-05,-2.367331399e-05,-2.3687221983e-05,-2.37008498516e-05,-2.37140266108e-05,-2.37265849137e-05,-2.37385775108e-05,-2.3749875254e-05
-2.37616859522e-05,-2.37573149207e-05,-2.37408112298e-05,-2.37147614826e-05,-2.36846935877e-05,-2.36556552409e-05,-2.3631089789e-05,-2.36127943936e-05,-2.3601216526e-05,-2.35959396377e-05,-2.35961852013e-05,-2.36008581851e-05,-2.36089126702e-05,-2.36194773606e-05,-2.36316991504e-05,-2.36450250668e-05,-2.36588657572e-05,-2.36728919845e-05,-2.36868218053e-05,-2.37004496739e-05,-2.37136209762e-05,-2.37262247538e-05,-2.37382191699e-05,-2.37495460169e-05
-2.37624226429e-05,-2.37582080445e-05,-2.37417334574e-05,-2.37156273215e-05,-2.36854102695e-05,-2.36562209466e-05,-2.36314426729e-05,-2.36129417317e-05,-2.36011892412e-05,-2.35958013945e-05,-2.35959196289e-05,-2.36005216721e-05,-2.36085488723e-05,-2.3619073545e-05,-2.36312989728e-05,-2.36445757764e-05,-2.36584255617e-05,-2.36724663409e-05,-2.36864052567e-05,-2.37000640482e-05,-2.37132480834e-05,-2.37258682318e-05,-2.37379226746e-05,-2.37492185988e-05
-2.37617932726e-05,-2.37575004576e-05,-2.37411040871e-05,-2.37151507463e-05,-2.36850955844e-05,-2.36560954363e-05,-2.36315172515e-05,-2.36131672864e-05,-2.36015930568e-05,-2.35962706938e-05,-2.35964616877e-05,-2.36010946537e-05,-2.3609112759e-05,-2.36196483456e-05,-2.36318883253e-05,-2.36451269302e-05,-2.36589876295e-05,-2.36730083998e-05,-2.36869382206e-05,-2.37005278905e-05,-2.37137010117e-05,-2.37263066083e-05,-2.37382773776e-05,-2.37495896727e-05
-2.37639960687e-05,-2.37592830672e-05,-2.37422118516e-05,-2.37156054936e-05,-2.36850282818e-05,-2.36555733863e-05,-2.36306841543e-05,-2.36121722992e-05,-2.36004525505e-05,-2.35951210925e-05,-2.35953048104e-05,-2.35999705183e-05,-2.36080613831e-05,-2.36186187976e-05,-2.36309024331e-05,-2.36442720052e-05,-2.36581399804e-05,-2.36722080444e-05,-2.3686186978e-05,-2.36998512264e-05,-2.37130661844e-05,-2.37256845139e-05,-2.37377280428e-05,-2.37490967265e-05
-2.37620024564e-05,-2.37580807152e-05,-2.37417898461e-05,-2.37158565142e-05,-2.3685675842e-05,-2.3656486519e-05,-2.36316809605e-05,-2.36131418205e-05,-2.36013274844e-05,-2.35958850681e-05,-2.35959632846e-05,-2.36005416809e-05,-2.36085415963e-05,-2.36190498981e-05,-2.3631251679e-05,-2.36445339397e-05,-2.36583655351e-05,-2.36724063143e-05,-2.36863761529e-05,-2.37000058405e-05,-2.37132098846e-05,-2.3725848223e-05,-2.37378499151e-05,-2.37492058659e-05
-2.37613458012e-05,-2.37570111494e-05,-2.3740605684e-05,-2.37146541622e-05,-2.36846644839e-05,-2.36556716118e-05,-2.36311334447e-05,-2.36128234974e-05,-2.36012565438e-05,-2.35959869315e-05,-2.35961779254e-05,-2.36008454522e-05,-2.36089035752e-05,-2.36194446188e-05,-2.36317009694e-05,-2.3644994144e-05,-2.36588166445e-05,-2.36728665186e-05,-2.36868036154e-05,-2.37004060182e-05,-2.37136064243e-05,-2.37262265728e-05,-2.37381900661e-05,-2.3749538741e-05
-2.37612439378e-05,-2.37578606175e-05,-2.37421263591e-05,-2.37165240833e-05,-2.36865053012e-05,-2.36572777794e-05,-2.36323721765e-05,-2.36136784224e-05,-2.36016931012e-05,-2.35961015278e-05,-2.35960269492e-05,-2.36004416365e-05,-2.36083888012e-05,-2.36188152485e-05,-2.36309933825e-05,-2.36442501773e-05,-2.36580926867e-05,-2.36721298279e-05,-2.36860723817e-05,-2.36997002503e-05,-2.37129152083e-05,-2.37255480897e-05,-2.37375770666e-05,-2.37489330175e-05
-2.37621406995e-05,-2.37578533415e-05,-2.37413369177e-05,-2.37152707996e-05,-2.36851119553e-05,-2.36560081248e-05,-2.36313044297e-05,-2.36128762481e-05,-2.3601211069e-05,-2.35959050769e-05,-2.35960560531e-05,-2.3600694476e-05,-2.36087380472e-05,-2.36192736338e-05,-2.36315208895e-05,-2.36447958741e-05,-2.36586547544e-05,-2.36726991716e-05,-2.36866289924e-05,-2.37002786889e-05,-2.37134336203e-05,-2.37260665017e-05,-2.37380791077e-05,-2.37493932218e-05
-2.3761371267e-05,-2.3757598683e-05,-2.37416079472e-05,-2.37158310483e-05,-2.36857904383e-05,-2.36566866079e-05,-2.3631950171e-05,-2.36134183069e-05,-2.36016348936e-05,-2.35961724684e-05,-2.3596243409e-05,-2.36007799685e-05,-2.36087344092e-05,-2.36192245211e-05,-2.363142994e-05,-2.36446703639e-05,-2.36585292441e-05,-2.36725391005e-05,-2.36864780163e-05,-2.37001077039e-05,-2.37132917391e-05,-2.37259228015e-05,-2.37379135797e-05,-2.37492713495e-05
-2.37623771682e-05,-2.37576350628e-05,-2.3740783945e-05,-2.37145031861e-05,-2.36843152379e-05,-2.3655282348e-05,-2.36307732848e-05,-2.36125306401e-05,-2.36010364461e-05,-2.35958559642e-05,-2.35961524595e-05,-2.3600878194e-05,-2.36089999817e-05,-2.36195664911e-05,-2.36318464886e-05,-2.36451523961e-05,-2.36590312852e-05,-2.36730629695e-05,-2.36869927903e-05,-2.37005770032e-05,-2.37137610384e-05,-2.37263811869e-05,-2.37383501371e-05,-2.37496788031e-05
-2.3762742785e-05,-2.3758626412e-05,-2.37422282225e-05,-2.37161202676e-05,-2.36858213611e-05,-2.36565047089e-05,-2.36316318478e-05,-2.36130363191e-05,-2.36012074311e-05,-2.35957359109e-05,-2.35958104895e-05,-2.360036342e-05,-2.36083524214e-05,-2.36188752751e-05,-2.36310588662e-05,-2.36443684116e-05,-2.36582218349e-05,-2.3672286261e-05,-2.36862306338e-05,-2.36998766923e-05,-2.37130770984e-05,-2.37257281697e-05,-2.37377298618e-05,-2.37490803556e-05
