State,Year,Month,Megawatthours
ID,2008,5,1967337
IL,2008,5,10700552
IN,2008,5,8017586
KS,2008,5,3059557
KY,2008,5,7133673
LA,2008,5,6127940
MA,2008,5,4275652
MD,2008,5,4559197
ME,2008,5,892808
MI,2008,5,8112932
MN,2008,5,5290483
MO,2008,5,6045781
MS,2008,5,3692521
MT,2008,5,1193225
NC,2008,5,9852015
ND,2008,5,906325
NE,2008,5,2114433
NH,2008,5,841769
NJ,2008,5,5651084
NM,2008,5,1747424
NV,2008,5,2815182
NY,2008,5,10588815
OH,2008,5,12060665
OK,2008,5,4458204
OR,2008,5,3861812
PA,2008,5,11233324
RI,2008,5,590457
SC,2008,5,6314142
SD,2008,5,824391
TN,2008,5,7514295
TX,2008,5,29581127
UT,2008,5,2168849
VA,2008,5,8202120
VT,2008,5,436318
WA,2008,5,7010464
WI,2008,5,5451633
WV,2008,5,2594946
WY,2008,5,1325964
AK,2008,6,464755
AL,2008,6,8338296
AR,2008,6,4087880
AZ,2008,6,7199494
CA,2008,6,22304475
CO,2008,6,4394309
CT,2008,6,2671459
DC,2008,6,1148414
DE,2008,6,957029
FL,2008,6,21592345
GA,2008,6,12656339
HI,2008,6,871415
IA,2008,6,3663965
ID,2008,6,2144902
IL,2008,6,12545025
IN,2008,6,9027043
KS,2008,6,3717988
KY,2008,6,7271636
LA,2008,6,7433068
MA,2008,6,4553659
MD,2008,6,5654256
ME,2008,6,903345
MI,2008,6,9327963
MN,2008,6,5427156
MO,2008,6,7280703
MS,2008,6,4384095
MT,2008,6,1194261
NC,2008,6,11942227
ND,2008,6,845935
NE,2008,6,2315602
NH,2008,6,920345
NJ,2008,6,7320536
NM,2008,6,1959508
NV,2008,6,3316244
NY,2008,6,12283323
OH,2008,6,13591142
OK,2008,6,5271817
OR,2008,6,3812310
PA,2008,6,12815127
RI,2008,6,671057
SC,2008,6,7644175
SD,2008,6,815306
TN,2008,6,8773604
TX,2008,6,33656686
UT,2008,6,2398901
VA,2008,6,10103576
VT,2008,6,466803
WA,2008,6,6628046
WI,2008,6,5715804
WV,2008,6,2778264
WY,2008,6,1330885
AK,2008,7,472888
AL,2008,7,8857945
AR,2008,7,4545604
AZ,2008,7,8400325
CA,2008,7,26288469
CO,2008,7,5128081
CT,2008,7,3056291
DC,2008,7,1198086
DE,2008,7,1129266
FL,2008,7,21809753
GA,2008,7,13648144
HI,2008,7,914723
IA,2008,7,4135829
ID,2008,7,2521012
IL,2008,7,14028838
IN,2008,7,9853190
KS,2008,7,4155312
KY,2008,7,7766074
LA,2008,7,7819670
MA,2008,7,5360183
MD,2008,7,6294188
ME,2008,7,1054369
MI,2008,7,9933745
MN,2008,7,6306072
MO,2008,7,8214208
MS,2008,7,4738072
MT,2008,7,1305621
NC,2008,7,12659753
ND,2008,7,964645
NE,2008,7,2814731
NH,2008,7,1023873
NJ,2008,7,8702121
NM,2008,7,2086173
NV,2008,7,4053381
NY,2008,7,13930986
OH,2008,7,14761794
OK,2008,7,5983998
OR,2008,7,4143912
PA,2008,7,13813098
RI,2008,7,828690
SC,2008,7,7873829
SD,2008,7,940156
TN,2008,7,9692697
TX,2008,7,35785373
UT,2008,7,2869306
VA,2008,7,10548671
VT,2008,7,508443
WA,2008,7,6792154
WI,2008,7,6442155
WV,2008,7,2878558
WY,2008,7,1392114
AK,2008,8,490105
AL,2008,8,8704044
AR,2008,8,4713957
AZ,2008,8,8492209
CA,2008,8,24807847
CO,2008,8,4863511
CT,2008,8,2661373
DC,2008,8,1074630
DE,2008,8,1131011
FL,2008,8,21982109
GA,2008,8,13583434
HI,2008,8,915253
IA,2008,8,4081400
ID,2008,8,2333956
IL,2008,8,13391265
IN,2008,8,9647930
KS,2008,8,4049254
KY,2008,8,7769940
LA,2008,8,8015508
MA,2008,8,5012335
MD,2008,8,5784159
ME,2008,8,1012724
MI,2008,8,9330285
MN,2008,8,6210024
MO,2008,8,8017475
MS,2008,8,4818029
MT,2008,8,1340089
NC,2008,8,12745563
ND,2008,8,994687
NE,2008,8,2809039
NH,2008,8,983740
NJ,2008,8,7765783
NM,2008,8,2133072
NV,2008,8,3954347
NY,2008,8,13669572
OH,2008,8,14244213
OK,2008,8,5636260
OR,2008,8,4054634
PA,2008,8,12878658
RI,2008,8,670225
SC,2008,8,7976973
SD,2008,8,983907
TN,2008,8,9841653
TX,2008,8,35633215
UT,2008,8,2761595
VA,2008,8,10134074
VT,2008,8,490723
WA,2008,8,6788884
WI,2008,8,6279621
WV,2008,8,2788536
WY,2008,8,1403597
AK,2008,9,498296
AL,2008,9,7921956
AR,2008,9,4057118
AZ,2008,9,7623847
CA,2008,9,25582494
CO,2008,9,4300810
CT,2008,9,2724022
DC,2008,9,988898
DE,2008,9,1033063
FL,2008,9,22344322
GA,2008,9,11994948
HI,2008,9,880409
IA,2008,9,3523785
ID,2008,9,1836328
IL,2008,9,11692189
IN,2008,9,8754515
KS,2008,9,3304817
KY,2008,9,7767665
LA,2008,9,7168846
MA,2008,9,4779656
MD,2008,9,5223847
ME,2008,9,990787
MI,2008,9,8877616
MN,2008,9,5474722
MO,2008,9,6837873
MS,2008,9,4289684
MT,2008,9,1186771
NC,2008,9,11383721
ND,2008,9,905601
NE,2008,9,2314850
NH,2008,9,892320
NJ,2008,9,6974718
NM,2008,9,1872041
NV,2008,9,3236846
NY,2008,9,12734589
OH,2008,9,12821117
OK,2008,9,4789449
OR,2008,9,3708296
PA,2008,9,12355048
RI,2008,9,622192
SC,2008,9,7049677
SD,2008,9,849829
TN,2008,9,9426479
TX,2008,9,30580544
UT,2008,9,2244079
VA,2008,9,9054765
VT,2008,9,460165
WA,2008,9,6419706
WI,2008,9,5661777
WV,2008,9,2604614
WY,2008,9,1284505
AK,2008,10,517258
AL,2008,10,6745794
AR,2008,10,3517598
AZ,2008,10,6301796
CA,2008,10,23521790
CO,2008,10,4146942
CT,2008,10,2374160
DC,2008,10,891659
DE,2008,10,920945
FL,2008,10,19036474
GA,2008,10,10213259
HI,2008,10,890757
IA,2008,10,3619719
ID,2008,10,1724822
IL,2008,10,11337021
IN,2008,10,8177253
KS,2008,10,2967079
KY,2008,10,7554195
LA,2008,10,5895644
MA,2008,10,4252160
MD,2008,10,4677368
ME,2008,10,975338
MI,2008,10,8232504
MN,2008,10,5408271
MO,2008,10,6224975
MS,2008,10,3753182
MT,2008,10,1188411
NC,2008,10,9777151
ND,2008,10,951072
NE,2008,10,2174624
NH,2008,10,847694
NJ,2008,10,6133896
NM,2008,10,1759787
NV,2008,10,2735686
NY,2008,10,11231535
OH,2008,10,12215913
OK,2008,10,4111475
OR,2008,10,3778596
PA,2008,10,11331960
RI,2008,10,595715
SC,2008,10,6054522
SD,2008,10,808220
TN,2008,10,8165784
TX,2008,10,27016632
UT,2008,10,2247995
VA,2008,10,8126141
VT,2008,10,456251
WA,2008,10,6557367
WI,2008,10,5531586
WV,2008,10,2689300
WY,2008,10,1396800
AK,2008,11,547752
AL,2008,11,6312276
AR,2008,11,3254659
AZ,2008,11,5261268
CA,2008,11,19377182
CO,2008,11,4114274
CT,2008,11,2382549
DC,2008,11,884842
DE,2008,11,839045
FL,2008,11,16604908
GA,2008,11,9671827
HI,2008,11,840018
IA,2008,11,3554954
ID,2008,11,1733978
IL,2008,11,11025167
IN,2008,11,8018219
KS,2008,11,2907266
KY,2008,11,7490930
LA,2008,11,5830135
MA,2008,11,4346697
MD,2008,11,4823475
ME,2008,11,911958
MI,2008,11,8050375
MN,2008,11,5453302
MO,2008,11,6312532
MS,2008,11,3424989
MT,2008,11,1210093
NC,2008,11,9671589
ND,2008,11,1036698
NE,2008,11,2201219
NH,2008,11,861976
NJ,2008,11,6054639
NM,2008,11,1686626
NV,2008,11,2385250
NY,2008,11,10971887
OH,2008,11,12128992
OK,2008,11,3919669
OR,2008,11,3821362
PA,2008,11,11726073
RI,2008,11,678206
SC,2008,11,5825775
SD,2008,11,874587
TN,2008,11,7707526
TX,2008,11,24138066
UT,2008,11,2166622
VA,2008,11,8414593
VT,2008,11,458965
WA,2008,11,6679195
WI,2008,11,5426820
WV,2008,11,2941148
WY,2008,11,1368258
