State,Y_1_M_1_F_1,Y_1_M_1_F_2,Y_1_M_1_F_3,Y_1_M_1_F_4,Y_1_M_2_F_1,Y_1_M_2_F_2,Y_1_M_2_F_3,Y_1_M_2_F_4,Y_1_M_3_F_1,Y_1_M_3_F_2,Y_1_M_3_F_3,Y_1_M_3_F_4,Y_1_M_4_F_1,Y_1_M_4_F_2,Y_1_M_4_F_3,Y_1_M_4_F_4,Y_1_M_5_F_1,Y_1_M_5_F_2,Y_1_M_5_F_3,Y_1_M_5_F_4,Y_1_M_6_F_1,Y_1_M_6_F_2,Y_1_M_6_F_3,Y_1_M_6_F_4,Y_1_M_7_F_1,Y_1_M_7_F_2,Y_1_M_7_F_3,Y_1_M_7_F_4,Y_1_M_8_F_1,Y_1_M_8_F_2,Y_1_M_8_F_3,Y_1_M_8_F_4,Y_1_M_9_F_1,Y_1_M_9_F_2,Y_1_M_9_F_3,Y_1_M_9_F_4,Y_1_M_10_F_1,Y_1_M_10_F_2,Y_1_M_10_F_3,Y_1_M_10_F_4,Y_1_M_11_F_1,Y_1_M_11_F_2,Y_1_M_11_F_3,Y_1_M_11_F_4
MD,0.116574484752,0.689160467588,0.143064063144,0.23195713835499998,0.13612611664899998,0.6604675876730001,0.144621555886,0.235423889064,0.132488331785,0.735387885228,0.145313426455,0.23794516230700002,0.117509882967,0.812964930925,0.145657857812,0.232902615821,0.0920805427347,0.8852284803399999,0.145496521608,0.22250236369399998,0.10657268512599999,0.914452709883,0.145566470228,0.240781594705,0.113727648751,0.9293304994689999,0.145818874032,0.23416325244199998,0.133333748693,0.918703506908,0.14590616581399998,0.237314843996,0.12783142175999998,0.902763018066,0.145964850978,0.22880554680100001,0.108397544361,0.821466524973,0.146160425528,0.23794516230700002,0.0936159041899,0.794367693943,0.146358111976,0.23195713835499998
ME,0.015053980396799999,0.588204038257,0.0361612606879,0.29120705956500004,0.0160743995635,0.553666312434,0.0361780918746,0.320516861015,0.0145209699577,0.640807651435,0.0360888801853,0.273242987709,0.012983427863600001,0.72688629118,0.036133102048499996,0.239836117239,0.013856857594,0.8219978746009999,0.0345141082783,0.258115348251,0.010645399606899999,0.831562167906,0.036453086586899996,0.233532934132,0.0128918410319,0.8703506907549999,0.036392225527699995,0.235423889064,0.014594105230000001,0.8831030818279999,0.0362566160803,0.247399936968,0.0157963321655,0.8544102019130001,0.0364216641052,0.23416325244199998,0.0152417789316,0.7555791710950001,0.0362170659914,0.238575480618,0.014719911317499999,0.722635494155,0.033080897531,0.26536400882399996
MI,0.19918952124000008,0.614240170032,0.29290226296300004,0.18153167349500002,0.208598570507,0.568544102019,0.2929263258,0.183737787583,0.19508404925,0.6780021253990001,0.293284836477,0.18436810589299998,0.195085726664,0.7555791710950001,0.293098861463,0.176173967854,0.175550102095,0.829968119022,0.292697664849,0.18815001575800008,0.189185804568,0.8581296493089999,0.292987698834,0.195713835487,0.195377812455,0.886822529224,0.29300843383200004,0.227860069335,0.210266879043,0.8815090329440001,0.293141099422,0.213362748188,0.21590035582800002,0.8692879914980001,0.293483546875,0.191301607312,0.199668327227,0.785866099894,0.293804491367,0.183737787583,0.18057899076699999,0.745483528162,0.293794891831,0.18846517491300002
MN,0.136537610389,0.598831030818,0.156227715077,0.141191301607,0.13854034745,0.555791710946,0.15622982697499999,0.140560983297,0.12439305751700001,0.689160467588,0.156700652224,0.134257800189,0.127331144867,0.7630180658869999,0.156716139476,0.144342893161,0.11400609955800001,0.8140276301809999,0.156581873964,0.154427986133,0.111508860702,0.869819341126,0.157044187625,0.177434604475,0.11867163628699999,0.8953241232729999,0.15705257122000002,0.177434604475,0.136348182366,0.876195536663,0.15428022517999998,0.171131421368,0.131946263308,0.8650371944740001,0.15466286269,0.163882760794,0.122031162048,0.780552603613,0.154899779243,0.15505830444399998,0.11451581789899999,0.719978746015,0.154490135037,0.145918688938
MO,0.162637533012,0.6918172157279999,0.183798862839,0.11377245509000004,0.17316649609,0.665249734325,0.184091200713,0.11849984242,0.165321731696,0.762486716259,0.184264120358,0.113457295934,0.15153582873500002,0.832624867163,0.18403046764800002,0.124803025528,0.124303507546,0.8703506907549999,0.18408416105300002,0.156318941065,0.134197113936,0.9208289054200001,0.184171964811,0.196659312953,0.160609443029,0.937300743889,0.18427275994000009,0.20075638197299997,0.184734018373,0.916046758767,0.184452079276,0.197919949575,0.178472996862,0.9064824654620001,0.18449802905499998,0.162937283328,0.15745348349899999,0.832624867163,0.184294838873,0.13740939174300001,0.13042781977600001,0.785866099894,0.184603303968,0.137724550898
MS,0.08112978179949999,0.7587672688629999,0.0810333964663,0.15505830444399998,0.0898056331892,0.7486716259299999,0.081113328604,0.16797982981400006,0.0829493212342,0.832624867163,0.08125834559669999,0.150646076269,0.0849019994541,0.882040382572,0.08133347796630001,0.15316734951199998,0.0730616576833,0.910201912859,0.0814004827287,0.157894736842,0.0755734900454,0.9468650371940001,0.08162811972930001,0.163567601639,0.0907418701111,0.965993623804,0.08173320265160001,0.15505830444399998,0.107273484941,0.951647183847,0.081791887816,0.15505830444399998,0.111153512422,0.9314558979809999,0.0817728167375,0.160416010085,0.09864742879910003,0.8793836344310001,0.0817116996907,0.14497321147199999,0.0849062409165,0.8405951115829999,0.0817545776188,0.14276709738399998
MT,0.021709290168499998,0.657279489904,0.0231420497762,0.146864166404,0.023475104413099995,0.668969181722,0.0231577290185,0.127009139616,0.019537254058099997,0.735919234857,0.023251868469700003,0.1348881185,0.0177423726165,0.7534537725820001,0.023282586985400002,0.13079104947999998,0.0170028484895,0.78958554729,0.0234045010945,0.136148755121,0.015611169567700001,0.8650371944740001,0.023546958211,0.13961550583,0.0178011540133,0.877789585547,0.0236206826486,0.14182161991800002,0.0198590300854,0.876195536663,0.0236443615045,0.1348881185,0.019229951721599997,0.8304994686499999,0.0236992708512,0.131106208635,0.0166101417918,0.781083953241,0.0237024066997,0.13079104947999998,0.0159186875717,0.685441020191,0.0235755008318,0.128269776237
NC,0.259219729078,0.735387885228,0.303663150997,0.14213677907299999,0.283256288088,0.711477151966,0.304143319795,0.143397415695,0.27361302383,0.7954303931990001,0.304476743684,0.155373463599,0.24813221093499999,0.844845908608,0.304562563537,0.14371257485,0.210047856636,0.890541976621,0.304844533912,0.138354869209,0.236534447264,0.936769394261,0.30530492766600004,0.14780964387,0.282835544605,0.943145589798,0.30574836223900004,0.163567601639,0.311298464998,0.930393198725,0.306084793983,0.15947053261900002,0.29511016899,0.9064824654620001,0.30641053824299996,0.160416010085,0.265413510232,0.844845908608,0.306648222758,0.153482508667,0.224257618277,0.815090329437,0.306775704598,0.13268200441199998
ND,0.033695039813399996,0.611052072264,0.013177859245799999,0.107784431138,0.0337415041951,0.570669500531,0.0132444160298,0.12102111566299999,0.030288306815400002,0.701381509033,0.013342139307799998,0.11377245509000004,0.028589589150900006,0.7614240170029999,0.013379769489500001,0.135833595966,0.024302501096900003,0.804463336876,0.013415607757800001,0.131736526946,0.0222390416308,0.871944739639,0.0135398897525,0.152537031201,0.022254977068500003,0.8974495217849999,0.0135939671395,0.145918688938,0.025295650296499998,0.8873538788519999,0.0137016099382,0.146233848093,0.0259582529872,0.855472901169,0.0138020210863,0.147179325559,0.0220612356938,0.780021253985,0.013883681140499999,0.131421367791,0.024088103560700003,0.6987247608930001,0.0139172155201,0.118815001576
NE,0.0526910401384,0.670563230606,0.0505980671014,0.108729908604,0.0540465587961,0.6647183846970001,0.050592307379700004,0.116293728333,0.0482787690366,0.75398512221,0.050821928284400006,0.131421367791,0.0461623751614,0.794367693943,0.05088784509930002,0.125748502994,0.0412922657533,0.8246546227420001,0.0508808054395,0.127954617082,0.041935482325,0.896918172157,0.0510969869936,0.15285219035599998,0.0489185588901,0.916046758767,0.05121723718309999,0.172076898834,0.062082117108,0.902763018066,0.051254099401900004,0.158525055153,0.058077817175699986,0.890541976621,0.0513743495914,0.150330917113,0.051011013663999995,0.814558979809,0.0513632781264,0.123542388906,0.043633265430000005,0.7391073326250001,0.051158040043500004,0.116608887488
NH,0.0125730364246,0.6036131774710001,0.031129055844,0.3860699653320001,0.0140092626829,0.569075451647,0.0303036237289,0.4040340371890001,0.0135252327473,0.652497343252,0.030305863620700008,0.403718878033,0.0131253371304,0.741764080765,0.0301969408838,0.381657737157,0.0108733602375,0.839001062699,0.030100497543999998,0.36495430192199996,0.00937351204348,0.845908607864,0.030660278495299998,0.346990230066,0.0119522013549,0.8815090329440001,0.030613560752699998,0.331862590608,0.012883406033299998,0.8852284803399999,0.030573178704,0.325874566656,0.0149584636225,0.859192348565,0.0307262593072,0.329971635676,0.0140877177554,0.766206163656,0.030929705476599997,0.3359596596280001,0.010707344128100002,0.7364505844850001,0.0305264609614,0.34163252442500003
NJ,0.132004349775,0.674282678002,0.240103598194,0.271667191932,0.149262788309,0.644527098831,0.24042646259300002,0.280806807438,0.135385681925,0.716790648247,0.240533209435,0.290261582099,0.136309026719,0.7996811902230001,0.24097920388500002,0.28364323983600004,0.11416051754499999,0.8767268862909999,0.24157111128400002,0.27986132997200003,0.134263443698,0.899574920298,0.24127448561700002,0.314843996218,0.149374384299,0.925611052072,0.24260965310199997,0.31263788213000004,0.17903668002300002,0.9208289054200001,0.241963860306,0.308855972266,0.176398538349,0.90170031881,0.242267525633,0.28994642294399997,0.150850101687,0.8156216790649999,0.242646195336,0.25969114402800003,0.122124929519,0.78958554729,0.24269508897300002,0.259060825717
